name,region,province
A B Siwendu Senior Primary School,Idutywa,Eastern Cape
A B Zambodla Junior Primary School,Cradock,Eastern Cape
A High School,A Region,Eastern Cape
A M Bam Junior Primary School,Butterworth,Eastern Cape
A M S Sityana Senior Secondary School,King Williams Town,Eastern Cape
A M Tapa Secondary School,Middledrift,Eastern Cape
A M Zantsi Senior Secondary School,Cala,Eastern Cape
A School,A Region,Eastern Cape
A V Bukani Primary School,Addo,Eastern Cape
A W Barnes Primary School,East London,Eastern Cape
Aaron Gqadu Primary School,Kwazakhele,Eastern Cape
Abambo,Queenstown,Eastern Cape
Abambo High School,Whittlesea,Eastern Cape
Abbotsford Christian School,East London,Eastern Cape
Aberdeen Primary Public School,Aberdeen,Eastern Cape
Aberdeen Secondary School,Aberdeen,Eastern Cape
Abraham Levy Primary School,Port Elizabeth,Eastern Cape
Abraham Vanqa Junior Secondary School,Indwe,Eastern Cape
Abundant Life Christian School,King Williams Town,Eastern Cape
Ackermanskraal Farm School,Aliwal North,Eastern Cape
Ad Tshayingca Secondary School,Bizana,Eastern Cape
Addo Primary School,Addo,Eastern Cape
Adelaide Gymnasium,Adelaide,Eastern Cape
Adelaide Primary School,Adelaide,Eastern Cape
Adendorp Primary School,Adendorp,Eastern Cape
Adolph Schauder Primary School,Port Elizabeth,Eastern Cape
Advent Comprehensive School,Maluti,Eastern Cape
Aeroville Secondary School,Somerseteast,Eastern Cape
Agnes Senior Primary School,Queenstown,Eastern Cape
Alazhar,Port Elizabeth,Eastern Cape
Al-Azhar Primary School,Port Elizabeth,Eastern Cape
Albert Ludidi Junior Secondary School,Engcobo,Eastern Cape
Albertina Sisulu Junior Secondary School,Nqamakwe,Eastern Cape
Alex Jayiya Primary School,Uitenhage,Eastern Cape
Alexander Road High School,Port Elizabeth,Eastern Cape
Alexandria Christian Academy,Alexandria,Eastern Cape
Alexandria High School,Alexandria,Eastern Cape
Alexandria Primary School,Alexandria,Eastern Cape
Alfred Giba Senior Secondary School,Peddie,Eastern Cape
Alheit Van Der Merwe Primary School,Aliwal North,Eastern Cape
Alice Primary School,Alice,Eastern Cape
Alipi Ngxoweni Primary School,Debenek,Eastern Cape
Aliwal North High School,Aliwal North,Eastern Cape
Aliwal North Primary School,Aliwal North,Eastern Cape
All Saints Junior Secondary School,Engcobo,Eastern Cape
All Saints Senior Primary School,Engcobo,Eastern Cape
Alphendale Senior Secondary School,East London,Eastern Cape
Althorpe College,East London,Eastern Cape
Altona Primary School,Port Elizabeth,Eastern Cape
Amabele Senior Secondary School,Ndabakazi,Eastern Cape
Amabhele High School,Alice,Eastern Cape
Amabheleni Junior Secondary School,Idutywa,Eastern Cape
Amadeus Independent School,Port Elizabeth,Eastern Cape
Amahlubi Senior Primary School,Peddie,Eastern Cape
Amakhuze Primary School,Alice,Eastern Cape
Amalinde Junior Primary School,King Williams Town,Eastern Cape
Amambalu Junior Secondary School,Mqanduli,Eastern Cape
Amamfengu Public Primary School,Clarkson,Eastern Cape
Amantinde Senior Secondary School,King Williams Town,Eastern Cape
Amanzi Primary School,Uitenhage,Eastern Cape
Amaqwathi Primary School,Queenstown,Eastern Cape
Amaqwati Junior Secondary School,Sterkspruit,Eastern Cape
Amathole Basin Primary School,Middledrift,Eastern Cape
Amatolaville Primary School,Stutterheim,Eastern Cape
Amavundle Senior Primary School,Queenstonw,Eastern Cape
Amazizi Senior Secondary School,Peddie,Eastern Cape
Anako Junior Primary School,Dordrecht,Eastern Cape
Andile Ntsepe Primary School,King Williams Town,Eastern Cape
Andre Rabie HS,Port Elizabeth,Eastern Cape
Andrew Moyake Public School,Grahamstown,Eastern Cape
Andrew Rabie High School,Greenacres,Eastern Cape
Andrieskraal Primary School,Patensie,Eastern Cape
Ankervas Primary School,Uitenhage,Eastern Cape
Annshaw Primary School,Middledrift,Eastern Cape
Anta Pj School,Butterworth,Eastern Cape
Antioch Junior Secondary School,Mount Frere,Eastern Cape
Aqua Vista Primary School,East London,Eastern Cape
Arcadia Senior Secondary School,Arcadia,Eastern Cape
Archie Mbolekwa Senior Primary School,Sterkspruit,Eastern Cape
Archie Velile Senior Secondary School,Dimbaza,Eastern Cape
Arthur Mfebe Senior Secondary School,Cofimvaba,Eastern Cape
Arthur Ngunga Senior Secondary School,Mount Ayliff,Eastern Cape
Asherville Public School,Graaff-Reinet,Eastern Cape
Ashton Gontshi Primary School,Kwanobuhle,Eastern Cape
Ashton Nkala Primary School,Mthatha,Eastern Cape
Aspiranza Primary School,East London,Eastern Cape
Astra Primary School,Gelvandale,Eastern Cape
Athenkosi Primary School,King Williams Town,Eastern Cape
Attwell Madala High School,Mthatha,Eastern Cape
Auckland Primary School,Alice,Eastern Cape
Av Plaatjie Senior Secondary School,Mthatha,Eastern Cape
Avo Test,A Region,Eastern Cape
Ayabulela Primary School,Peddie,Eastern Cape
Ayliff Primary School,Peddie,Eastern Cape
Azariel Senior Secondary School,Matatiele,Eastern Cape
B A Mbam Junior Primary School,Dordrecht,Eastern Cape
B B Mdledle Junior Secondary School,Cala,Eastern Cape
B J Mnyanda Primary School,Port Elizabeth,Eastern Cape
B Kat Senior Secondary School,King Williams Town,Eastern Cape
