NatEmis,Province,name
200600001,EC,A.B. ZAMBODLA JUNIOR PRIMARY SCHOOL
200300001,EC,A.B.SIWENDU SENIOR PRIMARY SCHOOL
200600003,EC,A.M. ZANTSI SENIOR SECONDARY SCHOOL
200300002,EC,A.M.BAM JUNIOR PRIMARY SCHOOL
200200001,EC,A.M.S.SITYANA SENIOR SECONDARY SCHOOL
200200002,EC,A.M.TAPA SENIOR SCHOOL
200100001,EC,A.V.BUKANI PRIMARY SCHOOL
200200003,EC,A.W.BARNES PRIMARY SCHOOL
200100002,EC,AARON GQADU PRIMARY SCHOOL
200600004,EC,ABAMBO HIGH SCHOOL
200201058,EC,ABBOTSFORD CHRISTIAN SCHOOL
200100003,EC,ABERDEEN PRIMARY PUBLIC SCHOOL
200100005,EC,ABERDEEN SENIOR SCHOOL
200100006,EC,ABRAHAM LEVY PRIMARY SCHOOL
200600006,EC,ABRAHAM VANQA JUNIOR SECONDARY SCHOOL
200601177,EC,ABUNDANT LIFE CHRISTIAN SCHOOL
200200263,EC,ACADEMY HIGH SCHOOL
200200091,EC,ACCORD BUSINESS ACADEMY
200600007,EC,ACKERMANSKRAAL FARM SCHOOL
200100009,EC,ADDO PRIMARY SCHOOL
200100012,EC,ADELAIDE GYMNASIUM
200100013,EC,ADENDORP PRIMARY SCHOOL
200100014,EC,ADOLPH SCHAUDER PRIMARY SCHOOL
200100015,EC,ADVANCE LIFE CHRISTIAN ACADEMY
200100016,EC,ADVENT COMPREHENSIVE SCHOOL
200200092,EC,AEROVILLE PRIMARY SCHOOL
200501564,EC,AEROVILLE SENIOR SCHOOL
200100047,EC,AFRICAN ANGELS PRIMARY SCHOOL
200100018,EC,AGNES SENIOR PRIMARY SCHOOL
200100179,EC,AL-AZHAR PRIMARY SCHOOL (PORT ELIZABETH)
200601018,EC,ALBERT LUDIDI JUNIOR SECONDARY SCHOOL
200100019,EC,ALEX JAYIYA PRIMARY SCHOOL
200400002,EC,ALEXANDER ROAD HIGH SCHOOL
200100020,EC,ALEXANDRIA CHRISTIAN ACADEMY
200100021,EC,ALEXANDRIA HIGH SCHOOL
200601176,EC,ALEXANDRIA PRIMARY SCHOOL (ALEXANDRIA)
200100024,EC,ALFONSO ARRIES PRIMARY
200100023,EC,ALFRED GIBA SENIOR SECONDARY SCHOOL
200101042,EC,ALHEIT VAN DER MERWE PRIMARY SCHOOL
200200005,EC,ALICE CHRIST THE KING PRIMARY SCHOOL
200600011,EC,ALIPI NGXOWENI PRIMARY SCHOOL
200200453,EC,ALIWAL NORTH HIGH SCHOOL
200200006,EC,ALIWAL NORTH PRIMARY SCHOOL
200200007,EC,ALL SAINTS SENIOR PRIMARY SCHOOL
200200008,EC,ALMEGA COLLEGE
200600012,EC,ALPHA CHRISTIAN SCHOOL
200600013,EC,ALPHA PRIMARY SCHOOL (PORT ELIZABETH)
200400004,EC,ALPHENDALE SENIOR SECONDARY SCHOOL
200201046,EC,ALTHORPE COLLEGE
200101032,EC,ALTONA PRIMARY SCHOOL
200100025,EC,AMABELE SENIOR SECONDARY SCHOOL
200200009,EC,AMABHELE HIGH SCHOOL
200201004,EC,AMABHELENI JUNIOR SECONDARY SCHOOL
200100027,EC,AMADEUS INDEPENDENT SCHOOL
200300003,EC,AMAJINGQI PUBLIC SCHOOL
200200010,EC,AMAKHUZE LHP SCHOOL
200300005,EC,AMALINDE JUNIOR PRIMARY SCHOOL
200101022,EC,AMAMBALU JUNIOR SECONDARY SCHOOL (KENTANI)
200100030,EC,AMAMBALU JUNIOR SECONDARY SCHOOL (MQANDULI)
200200013,EC,AMAMFENGU PUBLIC PRIMARY SCHOOL
200200014,EC,AMANTINDE SENIOR SECONDARY SCHOOL
200300717,EC,AMANZI PRIMARY SCHOOL (UITENHAGE)
200400006,EC,AMAQWATHI LHP SCHOOL
200100923,EC,AMATHOLE BASIN PRIMARY SCHOOL
200200015,EC,AMAVUNDLE SENIOR PRIMARY SCHOOL
200100031,EC,AMAZIZI SENIOR SECONDARY SCHOOL
200600015,EC,AMITEC BUSINESS COLLEGE COMBINED SCHOOL
200200016,EC,AMOS MLUNGWANA PS
200600018,EC,ANAKO JUNIOR PRIMARY SCHOOL
200200017,EC,ANDILE NTSEPE PRIMARY SCHOOL
200200468,EC,ANDREW MOYAKE PUBLIC SCHOOL
200600196,EC,ANDREW RABIE HIGH SCHOOL
200600019,EC,ANDRIESKRAAL PRIMARY SCHOOL
200200018,EC,ANKERVAS PRIMARY SCHOOL
200100032,EC,ANNSHAW PRIMARY SCHOOL
200100033,EC,ANTA PJ SCHOOL
200100034,EC,ANTIOCH JUNIOR SECONDARY SCHOOL (MOUNT FRERE)
200100035,EC,AQUA VISTA PRIMARY SCHOOL
200200019,EC,ARCADIA PRIMARY SCHOOL ( PORT ELIZABETH)
200300006,EC,ARCADIA SENIOR SECONDARY SCHOOL
200500004,EC,ARCHIE MBOLEKWA SENIOR PRIMARY SCHOOL
200200021,EC,ARCHIE VELILE SENIOR SECONDARY SCHOOL
200100036,EC,ARISE AND SHINE KINGDOM PRIMARY SCHOOL
200100037,EC,ARISTON CHRISTIAN SCHOOL
200100038,EC,ARTHUR MFEBE SENIOR SECONDARY SCHOOL
200200022,EC,ARTHUR NGUNGA SENIOR SECONDARY SCHOOL
200501602,EC,ASHERVILLE PUBLIC SCHOOL
200200364,EC,ASHTON GONTSHI PRIMARY SCHOOL
200601046,EC,ASHTON NKALA PRIMARY SCHOOL
200500005,EC,ASPIRANZA PRIMARY SCHOOL
200100041,EC,ASTRA PRIMARY SCHOOL (PORT ELIZABETH)
200100042,EC,ATHENKOSI LHP SCHOOL
200400007,EC,ATTWELL MADALA HIGH SCHOOL
200200023,EC,AUCKLAND LHP SCHOOL
200100043,EC,AV PLAATJIE SENIOR SECONDARY SCHOOL
200200024,EC,AYABULELA LHP SCHOOL
200401228,EC,AYLIFF PRIMARY SCHOOL
200200025,EC,AZARIEL JUNIOR SECONDARY SCHOOL
200404017,EC,B.A.MBAM JUNIOR PRIMARY SCHOOL
200200026,EC,B.B.MDLEDLE JUNIOR SECONDARY SCHOOL
200200027,EC,B.J.MNYANDA PRIMARY SCHOOL
200500006,EC,B.KAT SENIOR SECONDARY SCHOOL
200600021,EC,B.SANDILE SENIOR PRIMARY SCHOOL
200600022,EC,BABANE SENIOR PRIMARY SCHOOL
200100044,EC,BABHEKE SENIOR PRIMARY SCHOOL
200200028,EC,BACELA JUNIOR SECONDARY SCHOOL
200300007,EC,BADI SENIOR SECONDARY SCHOOL
200500007,EC,BAFAZI JUNIOR SECONDARY SCHOOL
200500008,EC,BAGQOZINI JUNIOR SECONDARY SCHOOL
200400008,EC,BAJONGE JUNIOR SECONDARY SCHOOL
200300008,EC,BAKALENI JUNIOR SECONDARY SCHOOL
200400009,EC,BAKANENI SENIOR PRIMARY SCHOOL
200500009,EC,BAKUBA JUNIOR SECONDARY SCHOOL
200400010,EC,BALASI JUNIOR SECONDARY SCHOOL
200500010,EC,BALASI LHP SCHOOL
200600023,EC,BALENI JUNIOR SECONDARY SCHOOL
200500011,EC,BALENI SENIOR SECONDARY SCHOOL
200400011,EC,BALETYENI SENIOR PRIMARY SCHOOL
200200029,EC,BALFOUR HP SCHOOL
200500012,EC,BALFOUR PRIMARY SCHOOL (FORT BEAUFORT)
200500013,EC,BALIZULU JUNIOR SECONDARY SCHOOL
200500014,EC,BALMORAL GIRLS' PRIMARY SCHOOL
200200030,EC,BALUNGISE JUNIOR SECONDARY SCHOOL
200200031,EC,BALURA LHP SCHOOL
200400012,EC,BAMBANANI JUNIOR PRIMARY SCHOOL
200600024,EC,BAMBILANGA JUNIOR SECONDARY SCHOOL
200400013,EC,BAMBILANGA SENIOR SECONDARY SCHOOL
200200032,EC,BAMBOESPRUIT JUNIOR SECONDARY SCHOOL
200401292,EC,BANGILIZWE JUNIOR SECONDARY SCHOOL
200400014,EC,BANGISO JUNIOR SECONDARY SCHOOL
200400015,EC,BANKIES JUNIOR SECONDARY SCHOOL
200600027,EC,BANTINI JUNIOR SECONDARY SCHOOL
200600028,EC,BANTWANANA JUNIOR SECONDARY SCHOOL
200300009,EC,BANZI PRIMARY SCHOOL
200600029,EC,BAPHATHE SENIOR PRIMARY SCHOOL
200400017,EC,BARKERVILLE JUNIOR SECONDARY SCHOOL
200400018,EC,BARKLY EAST (D.R.C) PRIMARY SCHOOL
200200033,EC,BARODA D.R.C. PRIMARY SCHOOL
200500018,EC,BASHEE PJS SCHOOL
200500019,EC,BASHEE SENIOR SECONDARY SCHOOL
200600030,EC,BATHANDWA NDONDO SENIOR SECONDARY SCHOOL
200600032,EC,BATHURST PRIMARY SCHOOL
200400019,EC,BATLOKOA JUNIOR SECONDARY SCHOOL
200300011,EC,BAVUMA JUNIOR SECONDARY SCHOOL
200600452,EC,BAVUMELE JUNIOR SECONDARY SCHOOL
200100049,EC,BAVUMELENI JUNIOR SECONDARY SCHOOL
200500020,EC,BAVUMILE JUNIOR PRIMARY SCHOOL
200400020,EC,BAWA JUNIOR SECONDARY SCHOOL
200400021,EC,BAWANA SENIOR PRIMARY SCHOOL
200400022,EC,BAY CHRISTIAN SCHOOL
200500021,EC,BAYVIEW PRIMARY SCHOOL
200300012,EC,BAZINDLOVU JUNIOR SECONDARY SCHOOL
200300013,EC,BAZINDLOVU PJS SCHOOL
200200982,EC,BAZINDLOVU SENIOR SECONDARY SCHOOL
200100050,EC,BAZIYA JUNIOR SECONDARY SCHOOL
200600035,EC,BEACONHURST PRIMARY SCHOOL
200400023,EC,BEBEZA SENIOR PRIMARY SCHOOL
200400024,EC,BEBULE LHP SCHOOL
200400027,EC,BEDFORD COUNTRY SCHOOL
200200035,EC,BEDFORD PRIMARY SCHOOL
200600036,EC,BEKABANTU JUNIOR SECONDARY SCHOOL (PORT ST JOHNS)
200200036,EC,BEKABANTU JUNIOR SECONDARY SCHOOL (FLAGSTAFF)
200601188,EC,BEKAMEVA JUNIOR SECONDARY SCHOOL
200100053,EC,BEKELA JUNIOR SECONDARY SCHOOL
200400029,EC,BEKILENI JUNIOR SECONDARY SCHOOL
200500022,EC,BEKINKOSI JUNIOR SECONDARY SCHOOL
200500023,EC,BEKISIZWE JUNIOR PRIMARY SCHOOL
200500024,EC,BEKIZULU SENIOR SECONDARY SCHOOL
200400030,EC,BELE JUNIOR SECONDARY SCHOOL
200300016,EC,BELEKENCE JUNIOR SECONDARY SCHOOL
200400031,EC,BELENI JUNIOR SECONDARY SCHOOL
200400032,EC,BELE-ZINGCUKA TECH SENIOR SECONDARY SCHOOL
200400033,EC,BELFORT JUNIOR PRIMARY SCHOOL
200400035,EC,BELGRAVIA ART CENTRE
200300018,EC,BELLAFIDES PRIVATE SCHOOL
200400034,EC,BELMONT FARM SCHOOL
200500025,EC,BELMORE SENIOR PRIMARY SCHOOL
200201060,EC,BELVEDERE FARM SCHOOL
200200485,EC,BEN COX ENGLISH MEDIUM SCHOOL
200100055,EC,BEN COX INDEPENDENT SCHOOL
200600040,EC,BEN MALI SENIOR SECONDARY SCHOOL
200100056,EC,BEN NYATI PUBLIC PRIMARY SCHOOL
200200414,EC,BEN SINUKA PRIMARY SCHOOL
200601174,EC,BENAI SILINGA SENIOR PRIMARY SCHOOL
200501424,EC,BENGU AGRICULTURAL HIGH SCHOOL
200100057,EC,BENGU JUNIOR SECONDARY SCHOOL
200100058,EC,BENSILE PJS SCHOOL
200300019,EC,BENSONVALE JUNIOR SECONDARY SCHOOL
200600677,EC,BERGSTROOM FARM SCHOOL
200300020,EC,BERGVIEW JP (BERGVIEW)
200400036,EC,BERGVIEW JP (MATATIELE)
200600041,EC,BERLIN HIGH SCHOOL
200600042,EC,BERLIN PRIMARY SCHOOL
200500035,EC,BERTRAM SENIOR SCHOOL
200501571,EC,BET EL CHRISTELIKE AKADEMIE
200100320,EC,BETHANIA JUNIOR SECONDARY SCHOOL
200200037,EC,BETHANIA SENIOR SECONDARY SCHOOL
200100957,EC,BETHANY JUNIOR SECONDARY SCHOOL
200100200,EC,BETHEL COLLEGE
200500026,EC,BETHEL JUNIOR SECONDARY SCHOOL (NDABAKAZI)
200500027,EC,BETHEL JUNIOR SECONDARY SCHOOL (MALUTI)
200500028,EC,BETHEL JUNIOR SECONDARY SCHOOL (MOUNT FRERE)
200300869,EC,BETHELSDORP COMPREHENSIVE SCHOOL
200300763,EC,BETHELSDORP ROAD PRIMARY SCHOOL
200500029,EC,BETHESDA JUNIOR SECONDARY SCHOOL
200500030,EC,BETHLEHEM SENIOR PRIMARY SCHOOL
200100064,EC,BETHVALE PRIMARY SCHOOL
200100065,EC,BETSHWANA JUNIOR SECONDARY SCHOOL
200500031,EC,BEULAH NGK PRIMARY SCHOOL
200500032,EC,BEYELE PJS SCHOOL
200100066,EC,BHAYI SENIOR PRIMARY SCHOOL
200500033,EC,BHEKAMEVA JUNIOR PRIMARY SCHOOL
200100067,EC,BHELE PUBLIC SCHOOL
200400037,EC,BHOLANI JPS
200500034,EC,BHONGOLETHU JUNIOR SECONDARY SCHOOL
200400038,EC,BHONGOLETHU SECONDARY SCHOOL
200200039,EC,BHONGWELIHLE JUNIOR PRIMARY SCHOOL
200601182,EC,BHONGWENI PUBLIC FARM SCHOOL
200600045,EC,BIJOLO JUNIOR SECONDARY SCHOOL
200201048,EC,BIKANA JUNIOR SECONDARY SCHOOL
200200040,EC,BIKITSHA JUNIOR SECONDARY SCHOOL
200100068,EC,BIKIZANA JUNIOR SECONDARY SCHOOL
200400040,EC,BILATYE JUNIOR SECONDARY SCHOOL
200300021,EC,BILL GANTO JUNIOR PRIMARY SCHOOL
200500035,EC,BINFIELD PARK LHP SCHOOL
200600046,EC,BINGQALA PUBLIC PRIMARY SCHOOL
200600047,EC,BIOTHATELO SENIOR PRIMARY SCHOOL
200200041,EC,BISANA JUNIOR SECONDARY SCHOOL
200200042,EC,BISHO HIGH SCHOOL
200200043,EC,BISHO LHP SCHOOL
200500047,EC,BISHOP DEMONT SENIOR SECONDARY SCHOOL
200500036,EC,BITYI JUNIOR SECONDARY SCHOOL
200200044,EC,BIYANA JUNIOR SECONDARY SCHOOL
200200046,EC,BIZANA Christian Academy
200600048,EC,BIZANA JUNIOR SECONDARY SCHOOL
200500037,EC,BIZANA VILLAGE JUNIOR SECONDARY SCHOOL
200500037,EC,BIZANA VILLAGE SENIOR SECONDARY SCHOOL
200400041,EC,BIZOKHULU LHP SCHOOL
200300022,EC,BLACK DIAMOND JUNIOR SECONDARY SCHOOL
200501601,EC,BLAIR HELEN JSP SCHOOL
200400042,EC,BLESSINGS CHRISTIAN LEARNING ACADEMY
200500039,EC,BLESSINGS CHRISTIAN PRIMARY LEARNING ACADEMY
200500041,EC,BLIKANA SENIOR SECONDARY SCHOOL
200200047,EC,BLORWENI JUNIOR SECONDARY SCHOOL
200500042,EC,BLUELILIES BUSH PUBLIC PRIMARY SCHOOL
200200048,EC,BLUE-SKY JUNIOR SECONDARY SCHOOL
200100924,EC,BLUEWATER BAY PRIMARY SCHOOL
200100011,EC,BLY NGCONGOLO JUNIOR PRIMARY SCHOOL
200600049,EC,BLYTHSWOOD HIGH SCHOOL
200500044,EC,BLYTHSWOOD JUNIOR SECONDARY SCHOOL
200100070,EC,BODIAM LHP SCHOOL
200300793,EC,BODKER PUBLIC SCHOOL
200100071,EC,BODWENI JUNIOR SECONDARY SCHOOL
200300765,EC,BODWENI SENIOR SECONDARY SCHOOL
200300024,EC,BOJANE JUNIOR SECONDARY SCHOOL
200300023,EC,BOJENI JUNIOR SECONDARY SCHOOL
200200050,EC,BOKAMOSO PRIMARY SCHOOL (MATATIELE)
200100072,EC,BOKUVENI JUNIOR SECONDARY SCHOOL
200500045,EC,BOLANA JUNIOR SECONDARY SCHOOL
200500046,EC,BOLENI JUNIOR SECONDARY SCHOOL
200400044,EC,BOLO FARM SCHOOL
200300025,EC,BOLOTWA JUNIOR SECONDARY SCHOOL (IDUTYWA)
200501588,EC,BOLOTWA JUNIOR SECONDARY SCHOOL (NGQELENI)
200500048,EC,BOLOTWA SENIOR PRIMARY SCHOOL
200300026,EC,BOMELA SENIOR SECONDARY SCHOOL
200400045,EC,BOMENI JUNIOR SECONDARY SCHOOL
200200051,EC,BOMVANA PUBLIC SCHOOL
200300027,EC,BOMVINI JUNIOR SECONDARY SCHOOL
200400046,EC,BOMVINI SENIOR PRIMARY SCHOOL
200600053,EC,BONDA JUNIOR SECONDARY SCHOOL
200300028,EC,BONDE JUNIOR SECONDARY SCHOOL
200600055,EC,BONGIWE SENIOR PRIMARY SCHOOL
200200052,EC,BONGOLETHU HIGH SCHOOL
200500050,EC,BONGOLETHU JUNIOR PRIMARY SCHOOL (PEDDIE)
200401265,EC,BONGOLETHU JUNIOR PRIMARY SCHOOL (WHITTLESEA)
200500052,EC,BONGOLETU JUNIOR SECONDARY SCHOOL
200300029,EC,BONGOLO FARM SCHOOL
200600056,EC,BONGWENI JUNIOR SECONDARY SCHOOL (IDUTYWA)
200300033,EC,BONGWENI JUNIOR SECONDARY SCHOOL (PORT ST JOHNS)
200100076,EC,BONGWENI PRIMARY SCHOOL
200600057,EC,BONISWA JUNIOR SECONDARY SCHOOL
200300034,EC,BONKE LHP SCHOOL
200600059,EC,BONKOLO HIGH SCHOOL
200300784,EC,BONTHOEK FARM SCHOOL
200400047,EC,BONTRUG SENIOR PRIMARY SCHOOL
