natemis,province,name,region
200300806,EC,BRIDGEWAYS PRIMARY SCHOOL,
200501602,EC,ARISE AND SHINE KINGDOM PRIMARY SCHOOL,PORT EDWARD
200500012,EC,BALENI JS SCHOOL,BIZANA
200500013,EC,BALENI SS SCHOOL,BIZANA
200500023,EC,BEKAMEVA JS SCHOOL,BIZANA
200500024,EC,BEKELA JS SCHOOL,PORT EDWARD
200501601,EC,Bizana Christian Academy,Bizana
200500039,EC,BIZANA VILLAGE JS SCHOOL,BIZANA
200500041,EC,BIZANA VILLAGE SS SCHOOL,BIZANA
200500048,EC,BOKUVENI JS SCHOOL,FLAGSTAFF
200500052,EC,BONDA JS SCHOOL,KOKSTAD
200500071,EC,BUTTVILLE JS SCHOOL,FLAGSTAFF
200500080,EC,CAMAGU JP SCHOOL,FLAGSTAFF
200501456,EC,CANGCI COMPREHENSIVE TECHNICAL HIGH,BIZANA
200501404,EC,CHIEF DUMILE SS SCHOOL,BIZANA
200500093,EC,CLARKVILLE JS SCHOOL,BIZANA
200500102,EC,CRITCHLOW JS SCHOOL,BIZANA
200500103,EC,CWAKA JS SCHOOL,BIZANA
200500117,EC,DANGENI SP SCHOOL,BIZANA
200500124,EC,DIAMOND JS SCHOOL,BIZANA
200500125,EC,DIDI SP SCHOOL,BIZANA
200500131,EC,DLANGEZWA SP SCHOOL,BIZANA
200500133,EC,DLUNGWANA SP SCHOOL,BIZANA
200500138,EC,DUDUMENI JS SCHOOL,FLAGSTAFF
200500146,EC,DUMILE SP SCHOOL,BIZANA
200500150,EC,DUMSI JS SCHOOL,KOKSTAD
200500154,EC,DUTYINI JS SCHOOL,BIZANA
200500156,EC,DYIFANI JS SCHOOL,BIZANA
200500158,EC,EBENEZER JS SCHOOL,PORT EDWARD
200500159,EC,EBLORWENI SP SCHOOL,BIZANA
200500167,EC,ELITYENI SP SCHOOL,BIZANA
200500173,EC,ELUTHULINI JS SCHOOL,BIZANA
200500175,EC,EMABHEKUTENI SP SCHOOL,BIZANA
200500183,EC,EMAZWENI JP SCHOOL,BIZANA
200500184,EC,EMBANDANA SP SCHOOL,REDOUBT
200500186,EC,EMBOBENI JS SCHOOL,BIZANA
200501360,EC,EMCETENI JS SCHOOL,FLAGSTAFF
200500188,EC,EMDENI JS SCHOOL,BIZANA
200500189,EC,EMDIKISWENI JS SCHOOL,FLAGSTAFF
200500191,EC,EMGODINI JS SCHOOL,BIZANA
200500192,EC,EMHLANGA JS SCHOOL,BIZANA
200500196,EC,EMTAMVUNA JS SCHOOL,BIZANA
200500205,EC,ENQABENI JS SCHOOL,FLAGSTAFF
200500208,EC,ENYANISWENI JS SCHOOL,BIZANA
200500211,EC,ESIGODLWENI JS SCHOOL,FLAGSTAFF
200500216,EC,ESINYAMENI SP SCHOOL,MOUNT AYLIFF
200500217,EC,ESITOFINI SP SCHOOL,MBIZANA
200500220,EC,ETALENI SP SCHOOL,BIZANA
200500222,EC,ETHRIDGE JS SCHOOL,BIZANA
200500227,EC,EZIZITYANENI JS SCHOOL,BIZANA
200500238,EC,FREE METHODIST JP SCHOOL,MBIZANA
200500241,EC,GALATYENI JS SCHOOL,FLAGSTAFF
200500247,EC,GCINISIZWE SP SCHOOL,BIZANA
200500252,EC,GECELO JP SCHOOL,BIZANA
200500266,EC,GOXE JS SCHOOL,MOUNT AYLIFF
200500269,EC,GREENVILLE JS SCHOOL,BIZANA
200500270,EC,GREENVILLE SS SCHOOL,BIZANA
200500278,EC,GUMZANA JS SCHOOL,PORT EDWARD
200500280,EC,GUQA JP SCHOOL,BIZANA
200500282,EC,GWALA JS SCHOOL,BIZANA
200500300,EC,HLAMANDANA SS SCHOOL,BIZANA
200500320,EC,IMFOLOZI JS SCHOOL,BIZANA
200500323,EC,INTSINGIZI JS SCHOOL,BIZANA
200501603,EC,ITHUBA WILDCOAST COMMUNITY COLLEGE,PORT ELIZABETH
200500327,EC,IZIBANZINI JS SCHOOL,BIZANA
200500328,EC,IZWELETHU SP SCHOOL,BIZANA
200500330,EC,JALI SP SCHOOL,BIZANA
200500331,EC,JAMA SP SCHOOL,BIZANA
200500345,EC,KANTOLO JS SCHOOL,BIZANA
200500346,EC,KANYAYO JS SCHOOL,BIZANA
200500354,EC,KHALENI SP SCHOOL,BIZANA
200501406,EC,KHANYISANI JP SCHOOL,BIZANA
200500360,EC,KHOTSHO JS SCHOOL,BIZANA
200500362,EC,KHUMBUZA JS SCHOOL,BIZANA
200500365,EC,KOPANA JP SCHOOL,MBIZANA
200500368,EC,KU-BHA SP SCHOOL,FLAGSTAFF
200500377,EC,KWAMBENYA SP SCHOOL,BIZANA
200500380,EC,KWANDELA JS SCHOOL,MBIZANA
200500382,EC,KWANIKWE JS SCHOOL,BIZANA
